scene,capture_id,full_image,thumbnail
01,NR_CAPTURE_1788964634028_3,full/nr-scene-01.jpg,thumbnails/nr-scene-01-thumbnail.jpg
02,NR_CAPTURE_1788964642565_4,full/nr-scene-02.jpg,thumbnails/nr-scene-02-thumbnail.jpg
03,NR_CAPTURE_1788964724078_7,full/nr-scene-03.jpg,thumbnails/nr-scene-03-thumbnail.jpg
04,NR_CAPTURE_1788964841130_8,full/nr-scene-04.jpg,thumbnails/nr-scene-04-thumbnail.jpg
05,NR_CAPTURE_1788964844342_9,full/nr-scene-05.jpg,thumbnails/nr-scene-05-thumbnail.jpg
06,NR_CAPTURE_1788965977477_14,full/nr-scene-06.jpg,thumbnails/nr-scene-06-thumbnail.jpg
07,NR_CAPTURE_1788966421432_22,full/nr-scene-07.jpg,thumbnails/nr-scene-07-thumbnail.jpg
08,NR_CAPTURE_1788966436525_24,full/nr-scene-08.jpg,thumbnails/nr-scene-08-thumbnail.jpg
09,NR_CAPTURE_1788967102531_2,full/nr-scene-09.jpg,thumbnails/nr-scene-09-thumbnail.jpg
10,NR_CAPTURE_1788967980527_2,full/nr-scene-10.jpg,thumbnails/nr-scene-10-thumbnail.jpg
11,NR_CAPTURE_1788968102801_7,full/nr-scene-11.jpg,thumbnails/nr-scene-11-thumbnail.jpg
12,NR_CAPTURE_1788968144574_12,full/nr-scene-12.jpg,thumbnails/nr-scene-12-thumbnail.jpg
13,NR_CAPTURE_1788968529949_9,full/nr-scene-13.jpg,thumbnails/nr-scene-13-thumbnail.jpg
14,NR_CAPTURE_1788968600254_16,full/nr-scene-14.jpg,thumbnails/nr-scene-14-thumbnail.jpg
15,NR_CAPTURE_1788968613457_18,full/nr-scene-15.jpg,thumbnails/nr-scene-15-thumbnail.jpg
16,NR_CAPTURE_1788968632198_19,full/nr-scene-16.jpg,thumbnails/nr-scene-16-thumbnail.jpg
17,NR_CAPTURE_1788969400676_24,full/nr-scene-17.jpg,thumbnails/nr-scene-17-thumbnail.jpg
18,NR_CAPTURE_1788969414321_26,full/nr-scene-18.jpg,thumbnails/nr-scene-18-thumbnail.jpg
19,NR_CAPTURE_1788969433381_27,full/nr-scene-19.jpg,thumbnails/nr-scene-19-thumbnail.jpg
20,NR_CAPTURE_1788969761793_14,full/nr-scene-20.jpg,thumbnails/nr-scene-20-thumbnail.jpg
21,NR_CAPTURE_1788969772578_15,full/nr-scene-21.jpg,thumbnails/nr-scene-21-thumbnail.jpg
22,NR_CAPTURE_1788970067272_18,full/nr-scene-22.jpg,thumbnails/nr-scene-22-thumbnail.jpg
23,NR_CAPTURE_1788970087732_20,full/nr-scene-23.jpg,thumbnails/nr-scene-23-thumbnail.jpg
24,NR_CAPTURE_1788970193821_24,full/nr-scene-24.jpg,thumbnails/nr-scene-24-thumbnail.jpg
25,NR_CAPTURE_1788970324960_29,full/nr-scene-25.jpg,thumbnails/nr-scene-25-thumbnail.jpg
26,NR_CAPTURE_1788970350652_31,full/nr-scene-26.jpg,thumbnails/nr-scene-26-thumbnail.jpg
27,NR_CAPTURE_1788970874137_33,full/nr-scene-27.jpg,thumbnails/nr-scene-27-thumbnail.jpg
28,NR_CAPTURE_1788970879466_34,full/nr-scene-28.jpg,thumbnails/nr-scene-28-thumbnail.jpg
29,NR_CAPTURE_1788970882409_35,full/nr-scene-29.jpg,thumbnails/nr-scene-29-thumbnail.jpg
30,NR_CAPTURE_1788970914654_38,full/nr-scene-30.jpg,thumbnails/nr-scene-30-thumbnail.jpg
31,NR_CAPTURE_1788970939084_40,full/nr-scene-31.jpg,thumbnails/nr-scene-31-thumbnail.jpg
32,NR_CAPTURE_1788970946549_41,full/nr-scene-32.jpg,thumbnails/nr-scene-32-thumbnail.jpg
33,NR_CAPTURE_1788971499829_3,full/nr-scene-33.jpg,thumbnails/nr-scene-33-thumbnail.jpg
34,NR_CAPTURE_1788971520384_5,full/nr-scene-34.jpg,thumbnails/nr-scene-34-thumbnail.jpg
35,NR_CAPTURE_1788971728162_10,full/nr-scene-35.jpg,thumbnails/nr-scene-35-thumbnail.jpg
36,NR_CAPTURE_1788971750671_11,full/nr-scene-36.jpg,thumbnails/nr-scene-36-thumbnail.jpg
37,NR_CAPTURE_1788971882138_1,full/nr-scene-37.jpg,thumbnails/nr-scene-37-thumbnail.jpg
38,NR_CAPTURE_1788971913223_6,full/nr-scene-38.jpg,thumbnails/nr-scene-38-thumbnail.jpg
39,NR_CAPTURE_1788971930933_10,full/nr-scene-39.jpg,thumbnails/nr-scene-39-thumbnail.jpg
40,NR_CAPTURE_1788971932349_11,full/nr-scene-40.jpg,thumbnails/nr-scene-40-thumbnail.jpg
41,NR_CAPTURE_1788971966758_14,full/nr-scene-41.jpg,thumbnails/nr-scene-41-thumbnail.jpg
